,job_title,company_name,city,state,zipcode,neighborhood,description,annual_salary,link
0,Data Scientist (Full-Time),proton.ai,Boston,MA, , ,"*Job Description Data Scientist (Full-Time)Team:  Data ScienceLocation:  Boston, MAWho we are: At Proton, we're bringing cutting-edge machine learning to B2B distribution. By predicting what customers will buy, we're improving sales and efficiency and driving growth.Responsibilities: We're looking for a data scientist to help us make that vision a reality by developing and refining cutting-edge machine learning models and data processing systems.Our backend is largely written with Python, so some experience with that or another dynamic programming language are essential. We're also a small team — you'll need to be comfortable taking your idea from theory into deployment.*Job Type: Full-timeSalary: $75,000.00 to $120,000.00 /yearExperience:relevant: 1 year (Preferred)Benefits:Paid time offFlexible scheduleSchedule::Monday to Friday",97500,8cacfaa3c21d0129
1,Data Scientist,BD,Boston,MA, , ,"Job Description Summary Digital Health is a business unit within Becton Dickinson charged with building innovative new product lines. The goal of Digital Health is to work alongside highly successful business units and bring software into their portfolios. Digital Health is bringing agile software practices into a leading global medical technology company - pushing the boundaries of the industry, the business and the products. Our Digital Health innovation center is located in the Boston area to rapidly prototype and then commercialize new concepts in digital health. Over time, Digital Health will spawn multiple products and services, which enable consumer engagement, better health outcomes, and stickiness for BD products. Job Description Why Is This Role Critical? As a data scientist, you will be responsible for building and delivering innovative new products to market. Users worldwide will use what you help build. Your focus on lean software practices and delivering quality products will be critical in the success of Digital Health and our mission of transformation. You will be making a real difference in making healthcare more efficient, safer and more effective. Key Roles and Responsibilities Responsible for development, validation, and implementation of predictive models, learning algorithms, and analytics based on device data that lead to clinically and economically relevant impact of smart device platforms Development and application of appropriate quantitative methods (predictive models, statistical methods, etc.) for multiple integrated complex data streams Assessment of the value of various data streams for the particular application. Principal technical contributor to the development of scientifically informed analytics engines. Use predictive modeling and automated data interpretation to make meaning of complex data and thus support patient and clinical decision making. Resident expert on predictive modeling/machine learning Resident expert on statistical analyses Qualifications A minimum of a Bachelor's degree in Computer Science, Mathematics or Physics A minimum of 5 years of relevant experience is required. Developing quantitative methods for application-driven analysis of complex data streams Expertise in one of more relevant statics/modeling languages Experience applying predictive modeling and/or machine learning methods to real-world systems Strong data visualization and technical communication abilities Preferred Masters Degree preferred Experience working with healthcare or medical data Start-up experience Primary Work Location USA MA - Andover Additional Locations Work Shift",,4631c716fc96075a
2,Data Scientist,"MIB Group, Inc.",Braintree,MA ,02184, ,"POSITION SUMMARY: MIB is committed to providing valued-added services to customers and improving efficiency through enhanced capabilities in data and advanced analytics. As an integral part of this long-term strategy, this role is critical to improving operations, expanding product offerings, and servicing the life insurance industry.MINIMUM QUALIFICATIONS AND REQUIREMENTS:Education: A master’s degree in a quantitative field such as statistics, mathematics, computer science, engineering, and physics. Ph.D is a plus.Experience: 2 – 6 years of relevant experience in insurance, banking or other financial industriesSkills:o Must be proficient in SQLo Must be expert in at least one of the following - R, Python, SASo Preferred additional skills include VBA, EXCEL, ACCESS, SQL Server, DB2, PostgreSQL, UNIX, LINUX, C, C++, JAVA, JavaScript, SparkIn-depth knowledge of statistical techniques including:o GLM (multiple regression, logistic regression, log-linear regression, and variable selection)o Multivariate analysis - Clustering, factor, principal componento Time series forecastingo Survival analysis, and so on.Understanding of Machine learning (e.g. random forests, support vector machines, gradient boosting, etc.), Natural Language Processing and Deep Learning (e.g. CNN) techniquesExperience in building predictive models using large datasetsExperience with data ETL, ability to overcome challenges in a fragmented data environment and ensuring data qualityExperience applying advanced analytics to solve business problems and drive business resultsKnowledge of life, health, property/casualty insurance principlesTrack record in meeting deadlinesStrong verbal and written communication skills with demonstrated ability to explain technical results to technical and non-technical audiencesGENERAL DUTIES AND RESPONSIBILITIES:(This is a representative list of the general duties the position may be asked to perform, and is not intended to be all-inclusive)Collaborate with business partners and customers to understand business needs, assess opportunities and assist in new product developmentApply advanced analytics skills and business knowledge to design and develop analytic solutions for internal and external customersPerform data ETL, query, merge, sampling, and quality checks on large datasets from diverse sourcesPerform variable reduction, selection, clustering, imputation, grouping, and customizationSelect analytic technique(s) most appropriate for the problem (e.g GLM, survival analysis, time series, multivariate analysis, ML, NLP, and DL etc.) and develop candidate modelsPerform model validation to compare lift, accuracy, reliability and stability of models, and select the final solutionWork with deployment team to implement final models in productionDevelop performance metrics, automate monitoring procedures, and update models as needed;Develop visualization and present analytic results to business partners, senior management and customersStay current with the latest analytical skills, technological innovations and insurance developments; serve as a mentor to other teammatesTIME ALLOCATION:15% - Data exploration and preparation50% - Developing and implementing analytics solutions10% - Model monitoring and maintenance15% - Ad hoc research and training10% - Customer support and other duties**This position does not offer any type of relocation nor do we provide any type of sponsorship.All Associates (whether full-time, part-time, or temporary), Interns, Subcontractors, and Service Providers are to follow the Information Security Program to:Ensure the security of Protected Information;Protect against anticipated threats or hazards to the security or integrity of Protected Information; andProtect against unauthorized access to or use of Protected Information in a manner that creates a substantial risk of a security breach, identity theft or fraud. Associates must contact the Help Desk immediately in the event of or suspicion of a security event (e.g., lost or stolen equipment, sensitive information disclosure, etc.)This job description does not include a comprehensive list of all duties the associate may be asked to perform in the course of the business day or may be assigned as part of the position. Other duties may be assigned as appropriate based on MIB business needs.Job Type: Full-timeExperience:relevant predictive analytics: 2 years (Required)insurance industry: 2 years (Required)hands on data/analytics: 4 years (Preferred)Education:Master's (Required)Work authorization:United States (Required)Additional Compensation:BonusesWork Location:One locationBenefits:Health insuranceDental insuranceVision insuranceRetirement planPaid time offFlexible scheduleProfessional development assistanceTuition reimbursementParental leave",,c920345674fcc072
3,Data Scientist,Indeed Prime,Boston,MA, , ,"Indeed Prime is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles. With one application you can be considered for thousands of tech roles from leading companies on Indeed Prime.  How Indeed Prime Works We find out what's important to you and match you with your dream job Get started – Complete a 5-minute application to be considered for roles at hundreds of leading companies Get matched – Companies apply to you with opportunities that reflect your role, location and salary specifications Get career coaching – Level up with free 1:1 coaching, our team will make sure you're ready to tackle any interview Get your dream job  Skills and Requirements We look for top tech talent to join the Indeed Prime platform. Each candidate is reviewed on the following to make sure you're a good fit for our network  In Demand Skills From strong communication skills to experience with the latest technologies, you have what employers are looking for  Stand Out Qualities You bring unique qualities and traits that stand out and make an impact  Change ready You are ready for a career changes and will be responsive to employers who reach out with job opportunities  Get matched with top tech companies on Indeed Prime!",,8c7e78291c43f729
4,Computational Biologist/Data Scientist,Goldfinch Bio,Cambridge,MA, , ,"Goldfinch Bio is a biotechnology company that is singularly focused on discovering and developing precision therapies for patients with kidney disease. Just as the goldfinch has long been a symbol of healing and renewal and was a prominent figure of the Renaissance, Goldfinch Bio is leading a new age of therapeutic discovery to transform the treatment paradigm for people with kidney disease. Goldfinch was launched in 2016 by Third Rock Ventures, and is headquartered in Cambridge, Mass. For more information, please visit https://www.goldfinchbio.com.  The Role: Goldfinch Bio seeks a talented computational biologist or data scientist to play a central role in development of the Kidney Genome Atlas (KGA) and the biology platform, two key components of our product engine for discovering novel drug targets, biomarkers for patient stratification, and insights into mechanism of disease. The KGA encompasses more than 20,000 multi-omic samples (WGS, RNAseq, scRNAseq, proteomics, metabolomics, epigenetic marks), with plans to grow to >100,000 samples. The biology platform consists of iPSC-derived human kidney organoids and differentiated cells, podocytes. This exciting position will play a pivotal role in data processing and analysis, by wranging multi-omic data, applying appropriate statistical methods, and interpretation and presentation of results. A successful candidate will have significant experience implementing algorithms to derive disease insights from multi-omics data.  Job Responsibilities Include: Evaluation and incorporation of cutting edge analytical and statistical approaches in analyses and interpretation of high-dimensional multi-omic and phenotypic data Analysis of RNAseq data for calculating eQTLs and diffential gene expression Unbiased cell type clustering of single cell data (e.g. scRNAseq, scATACseq) and trajectory analysis of cell differentiation Curation of public and proprietary epigenetic data (e.g. ChIPseq, histone marks), including rigorous examination of batch effects Building scalable and reproducible data processing and analysis pipelines in a cloud environment Deploying machine learning algorithms for drug discovery, including researching, adapting, and implementing cutting-edge methodologies  Qualifications/Experience: Ph.D. in Computational Biology, Bioinformatics, Computer Science, or related field; or equivalent academic/industry experience. Post-Doctoral training a plus. Experience integrating and analyzing high-dimensional data Proficiency in Python, R and Linux is required Experience analyzing genomic and/or transcriptomic data a plus Proficiency with machine learning algorithms Proven ability to work independently and in a team environment Excellent analytical and problem-solving skills Excellent written and verbal communication skills Record of significant peer-reviewed publications Strong drive with a desire to make an impact on kidney disease",,f14bc6dec8b4f60f
5,"Sr Analyst/Consultant, Data Science/Advanced Analytics - GRS...",Liberty Mutual Insurance,Boston,MA ,02101, ,"Advance your career at Liberty Mutual - A Fortune 100 Company! The GRS Claims Advanced Analytics Team (within Claims Transformation) is looking for a highly motivated Senior Analyst/Consultant to join us at an exciting time as we embark on developing on several new next predictive models for all GRS LOBs, including Commercial workers comp and General Liability. This position will collaborate closely with LOB Operations and Product teams, Data Scientists, Actuaries and IT teams. They will leverage data and advanced techniques to develop, implement and analyze predictive models that enable data-driven, strategic decision-making. This role requires the ability to learn and understand a broad range of predictive analytics techniques and their application to business opportunities. A successful candidate will be organized, creative and interested in solving business problems using data and analytics. They will have the right mix of analytical, technical and communication skills to thrive in a fast-paced environment.  Responsibilities: Collaborate with GRS Claims Strategy, Product Teams and Field Operations to develop business cases and specifications for predictive modeling products. Responsible for maintaining current models, monitoring model performance and identifying continuous improvement opportunities. Understand the competitive marketplace, IT environment, claims operations and data challenges to deliver actionable insights, recommendations and business processes. Liaison with IT to help develop innovative ways to develop new predictive models into production. Become an expert in the GRS claims data environment and help define the long-term data strategy required for predictive analytics team. Present findings, share insights and make recommendations that impact claims operations. Effectively communicate results in written, oral and presentation formats. Regularly engage with Liberty Mutual's broader Data Science and Advanced Analytics communities. Qualifications: Bachelor's degree required with 5-7+ years of experience on progressively more advanced analytical roles. Understanding of and ability to learn various analytical, problem solving and modeling techniques such as GLM's Significant experience with data-mining techniques such as SQL. Experience in one or more programming languages such as Python R or SAS strongly preferred. Demonstrated ability to collaborate and convey complex information clearly and concisely to a diverse group of stakeholders. Ability to establish and build relationships within and outside the organization.  Exhibits strong communication with management, partners and stakeholders. Desire to help train and mentor junior analysts on team. Ability to mange and prioritize multiple concurrent initiatives. Knowledge of insurance and claims processes preferred. Benefits:  We value your hard work, integrity and commitment to positive change. In return for your service, it’s our privilege to offer you benefits and rewards that support your life and well-being. To learn more about our benefit offerings please visit: https://LMI.co/Benefits Overview: At Liberty Mutual, we give motivated, accomplished professionals the opportunity to help us redefine what insurance means; to work for a global leader with a deep sense of humanity and a focus on improving and protecting everyday lives. We create an inspired, collaborative environment, where people can take ownership of their work; push breakthrough ideas; and feel confident that their contributions will be valued and their growth championed. We’re dedicated to doing the right thing for our employees, because we know that their fulfillment and success leads us to great places. Life. Happiness. Innovation. Impact. Advancement. Whatever their pursuit, talented people find their path at Liberty Mutual.",113750,bc1bb7a38322eaa5
6,"Data Scientist (Intern, Part-Time)",proton.ai,Boston,MA, , ,"Data Scientist (Intern, Part-Time)Team:  Data ScienceRole closes - 11:59 pm EST, 8th Sep 2019 EDT (America/New_York)Location: Boston, MAWho we are: At Proton, we're bringing cutting-edge machine learning to B2B distribution. By predicting what customers will buy, we're improving sales and efficiency and driving growth. We're looking for an intern data scientist working part-time to help us make that vision a reality by developing and refining cutting-edge machine learning models and data processing systems.Responsibilities: You will be expected to make a minimum 10 hour-per-week commitment, and you will need to work out of our offices in the Harvard Innovation Lab.Our backend is largely written with Python, so some experience with that or another dynamic programming language are essential. We're also a small team — you'll need to be comfortable taking your idea from theory into deployment.Job Types: Part-time, InternshipExperience:relevant: 1 year (Preferred)Work Location:One locationInternship Compensation:PaySchedule::Monday to Friday",,1a087273ecb3d9e3
7,Data Scientist,Park Jockey,Boston,MA, , ,"Who You’ll Work For REEF Technology is the ecosystem that connects the world to your block. Each REEF hub is a thriving, connected ecosystem of businesses, cities and people, that enables and provides the delivery of products and services to more people than ever before. Each location offers a variety of services including micro-fulfillment centers, bike and scooter rental stations, electric vehicle charging, rideshare and autonomous vehicle buffering areas, community spaces for pop-up businesses, and more.  REEF Technology has reimagined the role of a parking facility. We are the largest network of parking lots in North America, believing these locations can do a lot more than just store your car. They serve as buffers for high density, high activity areas and, as such, alleviate congestion and the ensuing pollution. But, with the explosive growth of the sharing and on-demand economy, it is expected that the need for parking to solely store cars will be outgrown by other needs.  We are part of SoftBank, and its portfolio of leading companies transforming business and commerce at the cutting edge of technology in the world today   Are You? A big data wrangler, someone who finds themselves caught at the crossroads of business and technology? If so, this position might just be for you! What You’ll Do  Analyze and integrate large relational and non-relational databases to extract insights and drive products Develop machine learning models and AI solutions for multivariate time-series forecasting Optimization and validation of the model performance Collaborate with business and technology teams to understand the business and build advanced data and model platforms Communicate results with internal and external stakeholders to achieve business objectives   What We Want From You  Degree in a quantitative field (e.g., Computer Science, Engineering, Mathematics, Statistics, Operations Research or other related fields) Knowledge of multivariate statistics, regression, classification, modeling, decision theory, time-series analysis, hypothesis testing, machine-learning, and deep-learning tools Ability to appropriately select and apply quantitative analysis techniques to answer complex questions Proficiency in using Python, SQL, Hadoop, Spark for data extraction and analysis Experience with scientific computing and analysis packages such as NumPy, SciPy, Pandas, Scikit-learn Experience with machine learning libraries and packages such as PyTorch, TensorFlow, or Keras Experience with Greenplum, Postgres, and MySQL Experience with data visualization libraries such as Matplotlib, Plotly, or ggplot2 Proven to thrive in startup environments Organized, detail oriented and capable of putting ideas into a tangible product Desired but not Required  Working with public clouds (e.g., AWS and/or Google cloud) Hands-on work with graph databases Database design What We’ll Provide Medical Dental Vision 401K Paid Time Off (PTO)   PHYSICAL DEMANDS: The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job.  Frequently operate small office equipment such as a computer, calculator, and copier/printer Will remain in seated position for extended periods of time WORKING CONDITIONS: Work is performed indoors for extended periods of time, including up to the entire duration of shift.  REEF KITCHEN is an equal opportunity employer, and we value diversity at our company. We don't discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.   #Dice  Back Share Apply Now",,0cc7c0afb827e835
8,"Data Scientist, Junior",Booz Allen Hamilton,Lexington,MA ,02421, ,"The Challenge: Are you excited at the prospect of unlocking the secrets held by a data set? Are you fascinated by the possibilities presented by the IoT, machine learning, and artificial intelligence advances? In an increasingly connected world, massive amounts of structured and unstructured data open up new opportunities. As a data scientist, you can turn these complex data sets into useful information to solve global challenges. Across private and public sectors — from fraud detection, to cancer research, to national intelligence — you know the answers are in the data. Empower change with us. Build Your Career: At Booz Allen, we know the power of analytics and we’re dedicated to helping you grow as a data analysis professional. When you join Booz Allen, you can expect: access to online and onsite training in data analysis and presentation methodologies, and tools like Hortonworks, Docker, Tableau, and Splunk a chance to change the world with the Data Science Bowl—the world’s premier data science for social good competition participation in partnerships with data science leaders, like our partnership with NVIDIA to deliver Deep Learning Institute (DLI) training to the federal government You’ll have access to a wealth of training resources through our Analytics University, an online learning portal specifically geared towards data science and analytics skills, where you can access more than 5000 functional and technical courses, certifications, and books. Build your technical skills through hands-on training on the latest tools and state-of-the-art tech from our in-house experts. Pursuing certifications? Take advantage of our tuition assistance, onsite boot camps, certification training, academic programs, vendor relationships, and a network of professionals who can give you helpful tips. We’ll help you develop the career you want, as you chart your own course for success. You Have:1+ years of experience with developing statistical and simulation modelsExperience with concepts of agent-based modeling, including discrete event, system dynamics, optimization, multi-variable optimization, or Monte Carlo modelingExperience with trade space decision analysisExperience in interacting with a technical audience on technical problems -Experience with working in a highly collaborative, team-oriented environment and balancing long- and short-term taskingsExperience in working with non-technical audiences, including decision makersAbility to obtain a security clearanceBA or BS degree Nice if you Have:Experience with one or more scripting or scientific languages, including Python, R, or MATLABExperience with the advanced use of Microsoft Excel and DOORS Next GenerationExperience with trade space decision analysisAbility to take poorly defined problems and convert them into practical requirementsAbility to exhibit flexibility, initiative, and innovation to succeed in an ambiguous and fast-paced environment, including compose client deliverable quality documentation, analysis, and reportsAbility to be highly detail-oriented and organizedBS degree in Operations Research, Data Science, Applied Mathematics, CS, Behavioral Science, or Engineering preferred Clearance: Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information. We’re an EOE that empowers our people—no matter their race, color, religion, sex, gender identity, sexual orientation, national origin, disability, veteran status, or other protected characteristic—to fearlessly drive change.",,6b6105b7d1adaaa4
9,Senior Data Scientist,SFL Scientific,Boston,MA, , ,"SFL Scientific is expanding our Data Science Consulting team and we are seeking highly skilled, creative, and driven Senior Data Scientists to design and build breakthrough approaches and solutions for our clients.As a Senior Data Scientist, you will be work directly with our clients to deliver data-driven solutions for a whole range of data science and data engineering projects. Our ideal candidate is an accomplished expert with deep technical credibility and implementation skills – designs, prototypes, develops, and fields predictive models and analytical approaches that power a critical business function.SFL Scientific is a data science consulting and professional services company, providing a broad range of solutions in data engineering, machine learning, and Artificial Intelligence. We provide strategy, prototype, integrate, and manage sophisticated AI solutions by leveraging emerging technology. With a globally connected network of technology partners. We support our clients by helping them create powerful data products, help organizations capture the value of emerging data capabilities, and bring the lessons learned through that work to our internal development processes.Our team solves complex and R&D type problems, tackling and helping organizations solve some of their most complex challenges with mathematics, data science, data engineering, and emerging technology. We are platform agnostic and are committed to providing the best technical solutions for each client and problem. Join us in Boston to build a technical career through consulting and professional services.Job Role & Strengths: Strong primary expertise as data scientist, with the ability to stretch beyond one’s core field of expertise. Successful candidates share the following requirements:Track record of diving into data to discover hidden patterns and conducting error/deviation analysisHigh-level knowledge of various machine learning techniques and key parameters that affect their performanceAbility to develop experimental and analytic plans for data modeling processesUse of strong baselines, ability to accurately determine cause and effect relationsUnderstanding of relevant statistical measures such as confidence intervals, significance of error measurements, development and evaluation data sets, etc.Strong client management skills – ability to lead and persuade, positive energy, relentless focus on business impactCore Requirements: Bachelor’s degree in Computer Science, Engineering, Math, Physics, or equivalent work experience5+ years experience building secure, concurrent, distributed applicationsExperience in Computer Vision and Deep Learning (e.g., TensorFlow, Keras, Caffe, Torch, CNTK)Proficient in SQL, NoSQL databases, and GNU Linux (e.g., MongoDB, Cassandra, Redis, MySQL, PostgreSQL)Proficient in data science, analytics, or big data solutions (Hadoop, Spark, AWS, Python, etc)Preferred Qualifications: Master's or Ph.D in related disciplineExpert in deep learning, distributed systems, and working with 3D image dataModel data and metadata to support dashboards, ad-hoc, and pre-build reportingExperience querying and administering big data storage services (Redshift, Teradata, Aurora, DynamoDB, etc.)Experience with general software release cycles / shipping machine learning or predictive analytics models at scaleYou must be authorized to work in the US. We support flexible work hours and paid professional development.Job Type: Full-timeSalary: $110,000.00 to $150,000.00 /yearExperience:Natural Language Processing: 2 years (Preferred)Tensorflow: 2 years (Required)Education:Master's (Required)Location:Boston, MA (Required)Work authorization:United States (Required)Additional Compensation:BonusesWork Location:One locationBenefits:Dental insuranceHealth insuranceVision insuranceRetirement planPaid time offFlexible scheduleParental leaveProfessional development assistanceCompany's website:www.sflscientific.comSchedule::Monday to Friday",130000,1e7c61a0856fe452
