,job_title,company_name,city,state,zipcode,neighborhood,description,salary,link
1,Data Scientist,BD,Boston,MA, , ,"Job Description Summary Digital Health is a business unit within Becton Dickinson charged with building innovative new product lines. The goal of Digital Health is to work alongside highly successful business units and bring software into their portfolios. Digital Health is bringing agile software practices into a leading global medical technology company - pushing the boundaries of the industry, the business and the products. Our Digital Health innovation center is located in the Boston area to rapidly prototype and then commercialize new concepts in digital health. Over time, Digital Health will spawn multiple products and services, which enable consumer engagement, better health outcomes, and stickiness for BD products. Job Description Why Is This Role Critical? As a data scientist, you will be responsible for building and delivering innovative new products to market. Users worldwide will use what you help build. Your focus on lean software practices and delivering quality products will be critical in the success of Digital Health and our mission of transformation. You will be making a real difference in making healthcare more efficient, safer and more effective. Key Roles and Responsibilities Responsible for development, validation, and implementation of predictive models, learning algorithms, and analytics based on device data that lead to clinically and economically relevant impact of smart device platforms Development and application of appropriate quantitative methods (predictive models, statistical methods, etc.) for multiple integrated complex data streams Assessment of the value of various data streams for the particular application. Principal technical contributor to the development of scientifically informed analytics engines. Use predictive modeling and automated data interpretation to make meaning of complex data and thus support patient and clinical decision making. Resident expert on predictive modeling/machine learning Resident expert on statistical analyses Qualifications A minimum of a Bachelor's degree in Computer Science, Mathematics or Physics A minimum of 5 years of relevant experience is required. Developing quantitative methods for application-driven analysis of complex data streams Expertise in one of more relevant statics/modeling languages Experience applying predictive modeling and/or machine learning methods to real-world systems Strong data visualization and technical communication abilities Preferred Masters Degree preferred Experience working with healthcare or medical data Start-up experience Primary Work Location USA MA - Andover Additional Locations Work Shift", ,4631c716fc96075a
2,Data Scientist Analyst,Lincoln Financial,Boston,MA ,02109,Central area,"Alternate Locations: Boston, MA (Massachusetts); Greensboro, NC (North Carolina) Relocation assistance will be considered/provided for this opportunity within our company guidelines. Requisition #60412 About the Company Lincoln Financial Group, a Fortune 250 company with over 10,000 employees, provides advice and solutions that help empower Americans to take charge of their financial lives with confidence. Our core business areas — Life Insurance, Annuities, Retirement Plan Services and Group Protection — focus on supporting, preserving and enhancing over 17 million customer’s lifestyles and retirement outcomes. Headquartered in Radnor, Pennsylvania, Lincoln Financial Group is the marketing name for Lincoln National Corporation (NYSE: LNC) and its affiliates. The company had $253 billion in assets under management as of December 31, 2017. Ranked one of the Best Large Employers in America by Forbes magazine, Lincoln Financial Group makes a serious investment in our employees’ futures through a broad range of wealth accumulation and protection plans, health and wellness programs, and career development resources designed to help each individual reach their personal and professional goals.   The Role Join the high-energy data science and business experts in Lincoln’s Life Solutions Data Analytics group as we drive business value and innovation through data. As a Data Scientist, you will support the Life In-force Optimization team by developing data insights to improve retention, generating cross-sell and up-sell opportunities, and improving the mortality experience of in-force policies. You will provide subject matter expertise and direction on complex projects/initiatives for the design, development, and delivery of advanced analytics and predictive modeling that enables the business to make data based decisions. Responsibilities Identify opportunities where data-driven solutions to complex business problems using predictive and statistical models can drive earnings while improving the customer experience. Provide expertise and collaborate with stakeholders to define data collection and analysis requirements and establish adequate business understanding to provide effective analysis. Compile and mine data from a wide variety of data repositories. Validate data accuracy, and confirm data quality and consistent use across the business. Design and execute analytic plans. Generate insights and inform business decisions using advanced analytical techniques. Translate quantitative analyses and findings into accessible visuals for non-technical audiences, clearly interpret the data and effectively communicate findings and insights to senior executives, managers, and key stakeholders. Deploy and maintain predictive models. Monitor model performance and update models. Work with key stakeholders in different functions to align and consolidate key operational performance metrics.  Education 4 Year Bachelor's degree in Mathematics, Natural Sciences, Economics, Computer Science, Engineering, Statistics, or Information Systems.  Experience Proficiency with a major programming language appropriate for data science (e.g. R, Python) to manipulate data and draw insights. 3 - 5+ years of solid experience working on different data sources and platforms. Knowledge and experience applying statistical and machine learning techniques to real business data. Ability to define problems, collect data, establish facts and draw valid conclusions. Strong relationship management skills with internal clients (e.g. senior management, peers and colleagues); proven ability to develop creative and collaborative approaches. Curiosity and demonstrated capability of quick learning on new technical and business knowledge. Flexibility and fast adaption to the changing business environment and priorities. Strong interpersonal skills with a collaborative style. Strong project management leadership skills including, critical ability to coordinate and balance multiple projects in a time-sensitive environment, under pressure, and meeting deadlines. Proficiency with Microsoft Office Suite (Word, Excel, PowerPoint, Outlook). Actuarial working experience or knowledge and experience in the insurance industry is desirable.  #LI-CA1   This position may be subject to Lincoln’s Political Contribution Policy. An offer of employment may be contingent upon disclosing to Lincoln the details of certain political contributions. Lincoln may decline to extend an offer or terminate employment for this role if it determines political contributions made could have an adverse impact on Lincoln’s current or future business interests, misrepresentations were made, or for failure to fully disclose applicable political contributions and or fundraising activities. Any unsolicited resumes/candidate profiles submitted through our web site or to personal e-mail accounts of employees of Lincoln Financial Group are considered property of Lincoln Financial Group and are not subject to payment of agency fees. Lincoln Financial Group (“LFG”) is an Equal Opportunity employer and, as such, is committed in policy and practice to recruit, hire, compensate, train and promote, in all job classifications, without regard to race, color, religion, sex (including pregnancy), age, national origin, disability, sexual orientation, gender identity and expression, veterans status, or genetic information. Applicants are evaluated on the basis of job qualifications. If you are a person with a disability that impedes your ability to express your interest for a position through our online application process, or require TTY/TDD assistance, contact us by calling 260-455-2558. #P3  Nearest Major Market: Boston  Job Segment: Database, Data Analyst, Information Systems, Computer Science, Actuarial, Technology, Data, Insurance", ,0873f4263546b21a
3,Front End Developer,QSimulate,Cambridge,MA, , ,"Who we areQSimulate is a highly motivated group of scientists and software engineers looking to bring the power of quantitative simulations to solve pressing problems in the chemical and pharmaceutical industries. We provide simulation platforms that minimize the time-to-solution, return substantive quantitative data, and automate complex workflows.Who you areYou have experience in web development for client side interaction with appreciation for the security of user data. You are enthusiastic about making an impact on society by creating cutting-edge software infrastructure. You are empathetic and can view your own work through the eyes of a non-specialist. You can articulate concepts in a concise and straightforward manner and are willing to share knowledge freely.Job Duties Include-Development of the QSimulate front end that interfaces users and cloud simulation platforms, including multi-user profile authentication platform and 3D graphical user interfaces.-Create an environment that encourages customers to build complex workflows-Developing automation tools for internal AI-driven R&DSoft SkillsWilling to learn, confident in decision making, self-aware, dependable, ambitious, and honest; Builds doors through barriers to create a better world.Hard SkillsHTML5, CSS3, JavaScript (Node.js, jQuery, etc.), Python, SQL.Degree in computer science or the physical sciences or 3 years of experience in web programming is required.Please include:A cover letterA resumeA link to a website and/or code samples hosted on publicly accessible repositoriesJob offer is contingent upon verification of identity and confirmation of work authorization.We believe science and technology are a force for the betterment of all people in society. To us this means that diversity and representation matter. QSimulate is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to color, ethnicity, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.Job Type: Full-timeSalary: $80,000.00 to $120,000.00 /yearExperience:Web Development: 3 years (Required)Education:Bachelor's (Preferred)Work Location:One locationBenefits:Health insuranceFlexible scheduleRetirement planThis Company Describes Its Culture as:Team-oriented -- cooperative and collaborativeDetail-oriented -- quality and precision-focusedInnovative -- innovative and risk-takingSchedule::Monday to FridayOvertime","$80,000 - $120,000 a year",146848b5a8e07dd5
4,"Scientist, Neurodegenerative Diseases",Novartis,Cambridge,MA, , ,"50 million people worldwide are directly affected by Neurodegenerative diseases. These diseases, including Alzheimer’s disease, Parkinson’s disease and various other rare genetic disorders, stop patients from participating in productive, active lives, connected to their families and friends. Here, at the Neuroscience department at Novartis Institutes for Biomedical Research, we are looking for a highly motivated research scientist to join a vibrant multidisciplinary team committed to finding and improving treatments to better the lives of these patients. Successful candidate will be responsible for advancing the cutting-edge drug discovery efforts.  Responsibilities: Design, conduct, and analyze experiments to generate high quality data for drug candidate optimization and validation.Develop disease-relevant cellular assays to unravel underlying disease biology and guide drug discovery activities.Critically analyze data and effectively present results to the multidisciplinary project team and Neuroscience Department as required.Keep accurate and complete records of data using Novartis data handling software/pipeline. [#video#https://www.youtube.com/watch?v=Mo1vwtVPVA0{#400,300#}#/video#]  Requires a MS degree in neuroscience, biotechnology or related field with minimum 5 years of research experience, preferably in a pharma industry setting.Strong laboratory skills, including modern molecular biology techniques and various cell-based biochemical and imaging assays. Extensive experience in mammalian cell culture methods (e.g. neuronal / glial cultures) and development of cell-based assays.Candidate must be team oriented, highly motivated with critical thinking skills, team oriented, and have excellent communication and interpersonal skills. Additional qualifications: Prior experience in neurodegeneration research is a plus.Experience with liquid handling automation systems and high-throughput assays in a biotechnology or pharmaceutical setting is a plus.Experience with prioritizing small molecule compounds using imaging, reporter, viability, or other endpoints is a plus. Why consider Novartis?  750 million. That’s how many lives our products touch. And while we’re proud of that fact, in this world of digital and technological transformation, we must also ask ourselves this: how can we continue to improve and extend even more people’s lives?  We believe the answers are found when curious, courageous and collaborative people like you are brought together in an inspiring environment. Where you’re given opportunities to explore the power of digital and data. Where you’re empowered to risk failure by taking smart risks, and where you’re surrounded by people who share your determination to tackle the world’s toughest medical challenges.  We are Novartis. Join us and help us reimagine medicine.  The Novartis Group of Companies are Equal Opportunity Employers and take pride in maintaining a diverse environment. We do not discriminate in recruitment, hiring, training, promotion or any other employment practices for reasons of race, color, religion, gender, national origin, age, sexual orientation, marital or veteran status, disability, or any other legally protected status.", ,f88d5149cb65de49
5,"Associate Scientist / Scientist- Genetics, Genomics and NGS",Directed Genomics,Cambridge,MA ,02139,Area IV area,"Directed Genomics (https://www.directedgenomics.com/) provides next generation sequencing library (NGS) preparation methods and other genetic and genomics solutions tailored to address the unique challenges of diverse applications and sample-types for research, translational, clinical and agricultural genomic applications.We are seeking a highly-motivated Scientist to join our team to develop and implement novel NGS sample prep solutions at our Cambridge, MA location. Responsibilities will include development and optimization of new methods both on the bench and on instruments, data analysis, and detailed reporting.Requirements:1-2 years of experience with current NGS platforms, library preparation, and sequencing data analysis software.research experience in molecular biology and geneticsExperience with assay design and analysisProduct development experience preferredExperience with Unix/Linux and bioinformatics tools a plusB.S. with 4 years, M. S. with 2 years experience or Ph.D.Job Type: Full-timeExperience:relevant NGS: 1 year (Required)Additional Compensation:BonusesWork Location:One locationBenefits:Health insuranceDental insuranceVision insuranceRetirement planPaid time offParental leaveRelocation assistanceSchedule:Monday to Friday", ,1dc636bc2044d6f1
6,Bio-transformation Scientist,Novartis,Cambridge,MA, , ,"More than 100,000 people across 140 countries are working for Novartis to discover, develop and successfully market innovative products to prevent and cure diseases, to ease suffering, and to enhance the quality of life.  We are looking for a PhD-level scientist with experience in metabolic profiling and data science to work in Pharmacokinetic Sciences (PKS) Department within the Novartis Institutes for BioMedical Research (NIBR) in Cambridge  As a biotransformation expert on the global Biotransformation team, you will develop state-of-the-art analytical methodologies for metabolite profiling and elucidate metabolite structures by HPLC (with and without radioactivity detection) and mass spectrometry.  What you’ll be doing  You will plan and execute tailored experiments, maintain the laboratory environment/instruments, and support the development of new technologies. You will ultimately have to support our outsourcing efforts and the reporting of biotransformation results.   Apply concepts to unify statistics, data analysis, machine learning and related methods in order to understand and analyze actual biotransformation pathways and mechanisms. With help of scientific methods, processes, algorithms and systems, you will extract knowledge and insights from (un)structured data. Represent the ADME line function in PKS sub-teams and project teams, present findings in teams, document results in internal and external reports/publications and contribute to registration documents. Plan and execute tailored experiments, maintain the laboratory environment/instruments, and support the development of new technologies. You will ultimately have to support our outsourcing efforts and the reporting of biotransformation results. [#video#https://www.youtube.com/watch?v=V9gpM8n6Ggg{#400,300#}#/video#]  What you will bring to the role:  Degree in organic/analytical/biochemistry or applied data science (MSc, PhD or equivalent) with experience in Biotransformation in an industry settingHands-on experience with LC-mass spectrometry and metabolite profiling and metabolite structure elucidation, experience with handling radioactivity would be an assetGood understanding of drug metabolizing enzymes and drug metabolism in in vitro and in vivo modelsHigh level of familiarity with data mining and big data conceptsAdvanced skills with MS Office products particularly Word, Excel and PowerPoint Our Expectations  Good attention to detail, an analytical investigative and questioning nature, with an innovative solution-oriented approachA sharp and objective intellect, experienced in balancing big picture thinking with an investigative nature, drilling into detail as appropriateWell-developed interpersonal skills with good presence; experienced presenter and communicatorA self-starter and decision taker; open, confident and persuasive, succeeding through influenceGood planning, prioritization, problem solving and organizational skillsResilient, energetic and enthusiastic; responding constructively to challenging new ideas and inputsTeam player, ability to be flexible and adapt to a changing environment What Novartis can offer you?  Yes, we offer exceptional benefits and competitive salaries. However, we can offer more. Here you will:  Work with the latest technologies Be part of a world class organization dedicated to providing solutions to un-met medical needs Join an organization that is committed to your development and advancement Why consider Novartis?  Transformative medicines need transformative thinking. We believe the answers are found when curious, courageous, and collaborative people like you are brought together in an inspiring environment. Where you’re given opportunities to explore the power of digital and data. Where you’re empowered to risk failure by taking smart risks, and where you’re surrounded by people who share your determination to tackle the world’s toughest medical challenges.  We are Novartis. Join us and help us reimagine medicine.  The Novartis Group of Companies are Equal Opportunity Employers and take pride in maintaining a diverse environment. We do not discriminate in recruitment, hiring, training, promotion or any other employment practices for reasons of race, color, religion, gender, national origin, age, sexual orientation, marital or veteran status, disability, or any other legally protected status.", ,9e5ccd265a5e0ded
7,Data Scientist (Full-Time),proton.ai,Boston,MA, , ,"*Job Description Data Scientist (Full-Time)Team:  Data ScienceLocation:  Boston, MAWho we are: At Proton, we're bringing cutting-edge machine learning to B2B distribution. By predicting what customers will buy, we're improving sales and efficiency and driving growth.Responsibilities: We're looking for a data scientist to help us make that vision a reality by developing and refining cutting-edge machine learning models and data processing systems.Our backend is largely written with Python, so some experience with that or another dynamic programming language are essential. We're also a small team — you'll need to be comfortable taking your idea from theory into deployment.*Job Type: Full-timeSalary: $75,000.00 to $120,000.00 /yearExperience:relevant: 1 year (Preferred)Benefits:Paid time offFlexible scheduleSchedule::Monday to Friday","$75,000 - $120,000 a year",8cacfaa3c21d0129
8,"Data Scientist (Intern, Part-Time)",proton.ai,Boston,MA, , ,"Data Scientist (Intern, Part-Time)Team:  Data ScienceRole closes - 11:59 pm EST, 8th Sep 2019 EDT (America/New_York)Location: Boston, MAWho we are: At Proton, we're bringing cutting-edge machine learning to B2B distribution. By predicting what customers will buy, we're improving sales and efficiency and driving growth. We're looking for an intern data scientist working part-time to help us make that vision a reality by developing and refining cutting-edge machine learning models and data processing systems.Responsibilities: You will be expected to make a minimum 10 hour-per-week commitment, and you will need to work out of our offices in the Harvard Innovation Lab.Our backend is largely written with Python, so some experience with that or another dynamic programming language are essential. We're also a small team — you'll need to be comfortable taking your idea from theory into deployment.Job Types: Part-time, InternshipExperience:relevant: 1 year (Preferred)Work Location:One locationInternship Compensation:PaySchedule::Monday to Friday", ,1a087273ecb3d9e3
9,Data Scientist,Park Jockey,Boston,MA, , ,"Who You’ll Work For REEF Technology is the ecosystem that connects the world to your block. Each REEF hub is a thriving, connected ecosystem of businesses, cities and people, that enables and provides the delivery of products and services to more people than ever before. Each location offers a variety of services including micro-fulfillment centers, bike and scooter rental stations, electric vehicle charging, rideshare and autonomous vehicle buffering areas, community spaces for pop-up businesses, and more.  REEF Technology has reimagined the role of a parking facility. We are the largest network of parking lots in North America, believing these locations can do a lot more than just store your car. They serve as buffers for high density, high activity areas and, as such, alleviate congestion and the ensuing pollution. But, with the explosive growth of the sharing and on-demand economy, it is expected that the need for parking to solely store cars will be outgrown by other needs.  We are part of SoftBank, and its portfolio of leading companies transforming business and commerce at the cutting edge of technology in the world today   Are You? A big data wrangler, someone who finds themselves caught at the crossroads of business and technology? If so, this position might just be for you! What You’ll Do  Analyze and integrate large relational and non-relational databases to extract insights and drive products Develop machine learning models and AI solutions for multivariate time-series forecasting Optimization and validation of the model performance Collaborate with business and technology teams to understand the business and build advanced data and model platforms Communicate results with internal and external stakeholders to achieve business objectives   What We Want From You  Degree in a quantitative field (e.g., Computer Science, Engineering, Mathematics, Statistics, Operations Research or other related fields) Knowledge of multivariate statistics, regression, classification, modeling, decision theory, time-series analysis, hypothesis testing, machine-learning, and deep-learning tools Ability to appropriately select and apply quantitative analysis techniques to answer complex questions Proficiency in using Python, SQL, Hadoop, Spark for data extraction and analysis Experience with scientific computing and analysis packages such as NumPy, SciPy, Pandas, Scikit-learn Experience with machine learning libraries and packages such as PyTorch, TensorFlow, or Keras Experience with Greenplum, Postgres, and MySQL Experience with data visualization libraries such as Matplotlib, Plotly, or ggplot2 Proven to thrive in startup environments Organized, detail oriented and capable of putting ideas into a tangible product Desired but not Required  Working with public clouds (e.g., AWS and/or Google cloud) Hands-on work with graph databases Database design What We’ll Provide Medical Dental Vision 401K Paid Time Off (PTO)   PHYSICAL DEMANDS: The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job.  Frequently operate small office equipment such as a computer, calculator, and copier/printer Will remain in seated position for extended periods of time WORKING CONDITIONS: Work is performed indoors for extended periods of time, including up to the entire duration of shift.  REEF KITCHEN is an equal opportunity employer, and we value diversity at our company. We don't discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.   #Dice  Back Share Apply Now", ,0cc7c0afb827e835
10,"Analyst, Data & Analysis",Digitas,Boston,MA ,02109,Central area,"Job Description  Analyst – Data & Analysis  Digitas is a highly-caffeinated playground where brilliant minds come together to bring bold, award-winning ideas to life.  The Data & Analysis team uses data-driven insights to fuel strategic growth for clients. We believe that data should never exist in a vacuum; instead, it should be put to work to bring the best ideas and stories to our clients  To help with this, we’re looking for an outstanding Analyst – someone who has a knack for understanding data and telling the story of why it matters. You’ll learn from the best in the business as you work with the team to bring actionable insights to our clients. Up for it? Read on.  What you’ll do:  As an Analyst, you’ll lay the groundwork and contribute to day-to-day reporting needs for client marketing efforts. You’ll work on brand campaigns, acquisition campaigns, site optimization, and/or online testing strategy.  Day-to-day, your role includes: Keeping a pulse on day-to-day performance data, including display media, site, search, email, and/or social campaignsWorking in a variety of reporting systems and databases for the creation of recurring reports and dashboardsIdentifying nuances in data to optimize our clients’ businessSupporting marketing initiatives across project and campaign lifecycles, including measurement plans, primary and secondary research, and performance reporting Expanding industry knowledge and relevant skillsets through internal training  We’re looking for strong, impactful work experience, which typically includes: 1-3 years of work experience in a relevant industryA four-year college degreePassion for digital marketing, eagerness to learn in a constantly-changing space, and a natural curiosityFamiliarity with Excel and/or other data analysis tools such as SQL or Tableau a plusComfortable in a fast-paced and deadline-driven environment  Got what it takes? We’d love to hear from you. Digitas is an equal opportunity employer.  Qualifications  null  Additional Information  All your information will be kept confidential according to EEO guidelines.", ,2db2bdd79bc219d2
