,job_title,company_name,annual_salary,city,state,zipcode,neighborhood,description,link
0,"Statistical Genetics, Data Scientist",Camp4 Therapeutics Corporation,,Cambridge,MA, , ,"job description camp4 is seeking a data scientist specializing in statistical genetics. the successful candidate will utilize state-of-the-art statistical genetics tools and develop novel methods and strategies that interrogate the interface between human genetic variation and high-dimensional genomics datatypes, to generate focused hypotheses that drive target identification/validation and drug discovery. he/she will work closely with a team of computational biologists and data scientists, as well as experimental and translational scientists, to integrate diverse proprietary datasets and develop predictive modeling, with the goal to advance our understanding of transcriptional regulation of diseases and to discover therapeutic approaches. reports to the head of data r&d. ph.d. degree required. key responsibilities collaborate and work independently, with a team of computational biologists and data scientists to develop, iterate and execute innovative strategies for genomic data integration and modeling/prediction write code to execute data analysis, visualize and provide interpretation and context to results of analysis identify, evaluate, and apply new methodologies and emerging technologies, and develop software tools where gaps exist collaborate closely with experimental and translational scientists to ensure biological validity and clinical utility, to drive camp4’s platform feature establishment and reciprocal optimization of methods and pharmaceutical candidates demonstrate initiative and a sense of urgency to discover medicines for unserved patients opportunity for advancement in a dynamic, research-rich and therapeutically-oriented environment, including external collaborations with industry and academia  qualifications ph.d. in statistical genetics, human genetics, complex trait analysis, computational genomics or equivalent industry experience or post-doctoral fellowship preferred recognized excellence as evidenced from top-tier peer-reviewed publications and references solid background in analysis and interpretation of diverse, complex trait genetic datasets. experience integrating multiple diverse sequence and omics datatypes to study disease, response or other human traits, as well as their interaction with gene regulation, biological pathway analysis and population genetics experience interrogating various next generation sequencing (ngs) datatypes, including gwas, phwas, wes and wgs. experience with diverse analysis methods and tools, including mendelian randomization, heritability analysis and bioinformatics creative, thinks out-side-the-box, in developing fit-for-purpose solutions for data needs excellent collaboration skills and ability to communicate effectively with biologists attention to detail, high professional integrity and commitment to excellence in execution passionate about realizing the potential of fundamental scientific discoveries to the bettering of patients’ lives and health about camp4 founded in 2016 and focused on a core mission of realizing a world with ‘an effective treatment option for every patient,’ camp4 therapeutics evolved from seminal discoveries made by company founders dr. richard young and dr. leonard zon, characterizing the ways in which dynamic cell signaling networks control the expression of genes. operating at the intersection of genomics, computational biology and data sciences, camp4 has extended this foundational work, creating a unique gene circuitry platformtm to amplify the value of cellular and genetic insights to better understand how genes are controlled by signaling pathways in specific disease states. by generating proprietary 4d maps, camp4 can identify de-risked druggable targets, produce actionable insights and improve therapeutic predictability, potentially addressing hundreds of diseases and benefiting millions of patients globally. find out more at www.camp4tx.com.",03bf439bfa53ee13
1,Data Scientist,"MIB Group, Inc.",,Braintree,MA ,02184, ,"position summary: mib is committed to providing valued-added services to customers and improving efficiency through enhanced capabilities in data and advanced analytics. as an integral part of this long-term strategy, this role is critical to improving operations, expanding product offerings, and servicing the life insurance industry.minimum qualifications and requirements:education: a master’s degree in a quantitative field such as statistics, mathematics, computer science, engineering, and physics. ph.d is a plus.experience: 2 – 6 years of relevant experience in insurance, banking or other financial industriesskills:o must be proficient in sqlo must be expert in at least one of the following - r, python, saso preferred additional skills include vba, excel, access, sql server, db2, postgresql, unix, linux, c, c++, java, javascript, sparkin-depth knowledge of statistical techniques including:o glm (multiple regression, logistic regression, log-linear regression, and variable selection)o multivariate analysis - clustering, factor, principal componento time series forecastingo survival analysis, and so on.understanding of machine learning (e.g. random forests, support vector machines, gradient boosting, etc.), natural language processing and deep learning (e.g. cnn) techniquesexperience in building predictive models using large datasetsexperience with data etl, ability to overcome challenges in a fragmented data environment and ensuring data qualityexperience applying advanced analytics to solve business problems and drive business resultsknowledge of life, health, property/casualty insurance principlestrack record in meeting deadlinesstrong verbal and written communication skills with demonstrated ability to explain technical results to technical and non-technical audiencesgeneral duties and responsibilities:(this is a representative list of the general duties the position may be asked to perform, and is not intended to be all-inclusive)collaborate with business partners and customers to understand business needs, assess opportunities and assist in new product developmentapply advanced analytics skills and business knowledge to design and develop analytic solutions for internal and external customersperform data etl, query, merge, sampling, and quality checks on large datasets from diverse sourcesperform variable reduction, selection, clustering, imputation, grouping, and customizationselect analytic technique(s) most appropriate for the problem (e.g glm, survival analysis, time series, multivariate analysis, ml, nlp, and dl etc.) and develop candidate modelsperform model validation to compare lift, accuracy, reliability and stability of models, and select the final solutionwork with deployment team to implement final models in productiondevelop performance metrics, automate monitoring procedures, and update models as needed;develop visualization and present analytic results to business partners, senior management and customersstay current with the latest analytical skills, technological innovations and insurance developments; serve as a mentor to other teammatestime allocation:15% - data exploration and preparation50% - developing and implementing analytics solutions10% - model monitoring and maintenance15% - ad hoc research and training10% - customer support and other duties**this position does not offer any type of relocation nor do we provide any type of sponsorship.all associates (whether full-time, part-time, or temporary), interns, subcontractors, and service providers are to follow the information security program to:ensure the security of protected information;protect against anticipated threats or hazards to the security or integrity of protected information; andprotect against unauthorized access to or use of protected information in a manner that creates a substantial risk of a security breach, identity theft or fraud. associates must contact the help desk immediately in the event of or suspicion of a security event (e.g., lost or stolen equipment, sensitive information disclosure, etc.)this job description does not include a comprehensive list of all duties the associate may be asked to perform in the course of the business day or may be assigned as part of the position. other duties may be assigned as appropriate based on mib business needs.job type: full-timeexperience:relevant predictive analytics: 2 years (required)insurance industry: 2 years (required)hands on data/analytics: 4 years (preferred)education:master's (required)work authorization:united states (required)additional compensation:bonuseswork location:one locationbenefits:health insurancedental insurancevision insuranceretirement planpaid time offflexible scheduleprofessional development assistancetuition reimbursementparental leave",c920345674fcc072
2,Translational Medicine and Data Science Expert,Novartis,,Cambridge,MA, , ,"20 petabytes of data. 2 million patient-years of information. 30 data domains from preclinical through phase 3 trials. all waiting for you to unlock the next breakthrough in medicine. if you are inspired to tackle the world’s toughest medical challenges, this is where you will unite science, data and digital technology as a translational medicine and data science expert.  novartis institutes for biomedical research is the innovation engine of novartis, focusing on powerful new technologies that have the potential to help produce therapeutic breakthroughs for patients. not only do we fund the majority of our own internal discovery research, the way we approach it is different too: partnering physician scientists with basic researchers and data analysts enables us to focus earlier on unmet patient need and discover where drugs will have the most impact. translational medicine is a group of physicians and scientists that drive innovative science from discovery to the patient through the selection, profiling, and effective development of medicines.  as a translational medicine and data science expert you will provide medical and scientific expertise and leadership to:  drive the success of early global programs, develop and implement strategies to achieve clinical proof of concept as well as late global programs; and develop and implement strategies leading to clinical pharmacology and profiling packages that meet regulatory requirements and support differentiated and competitive drug labeling support translational research in developing new indications, endpoints and biomarkers, using in vitro, in vivo, or in silico methods apply data science methodology to identify potential indications, endpoints, biomarkers, and pathway nexi that can optimize the early clinical development strategy by collaborating with the biomarker development team and research discovery colleagues to integrate clinical and preclinical information into the clinical development approach.  apply data science methodology to develop evidence to support the full development program. this includes using internal and external data to evaluate the impact of various clinical scenario provide leadership between medical and data science disciplines to leverage novartis and external data for translational medicine programs. provide scientific expert assessments and support for in-licensing opportunities, including due diligences this position can be based in cambridge, massachusetts (usa) or basel (switzerland)  about translational medicine translational medicine (tm) is a global group of nearly 1,000 scientists and physicians working at the pre-clinical and early clinical stage of drug discovery.  our physician-scientist tm discovery & profiling group drives innovative and cutting–edge science from discovery to the market through the selection, profiling and effective global development of successful medicines. the group closes the gap between preclinical research and clinical development and integrates clinical science into the discovery and preclinical development phase. our translational medicine concepts are driven by medical needs of the patient and the concept of personalized medicine, tailoring the drug, its dose and dosing regimen in such way to the patient that the clinical response is optimal in terms of efficacy and safety.  we focus from identification of drug targets (molecular pathways relevant to disease) up to the completion of proof of concept (phase iia studies). our translational medicine experts are part of preclinical project teams in all drug discovery phases and help design the pathway for first in human studies (healthy volunteer) that bridge to studies in the patient population. they have the comprehensive responsibility for designing and executing the early clinical drug development phase together with a project team from researcher, biomarkers, biostatistics, modeling and simulation, toxicology, technical experts and the clinical trial teams.  after the completion of a successful phase iia study the drug progresses to full development for phase iib and phase iii study design and further drug development. translational medicine experts with an interest in profiling will often continue as members of the global project team to characterize the clinical pharmacology, the mode of action, the biomarker response of a compound, look for new potential indications, contribute to the drug approval process and profile a new compound further in the market.  [#video#https://www.youtube.com/watch?v=qcf5rguvnoo{#400,300#}#/video#]  what you will bring to the role:  medical doctor degree required; additional phd (or phd-level research) desirable  demonstrated excellence and clinical expertise in your relevant medical subspecialty, evidenced by quality scientific publications, patient experience, and significant contributions to your field over time quantitative expertise in biostatistics, bioinformatics, computer science, data science or related technical field. hands-on experience analyzing, interpreting, publishing studies consisting of a variety of omics technologies (ngs, proteomics, etc.). formal training and demonstrated experience with machine learning, “big data” analysis, statistical approaches to exploratory analysis, or related aspects of data science experience performing in a similar role within a pharmaceutical research company, a clinical research organization or an academic medical center. used to leading complex cross-functional/matrix project teams with proven success collaborating with expert disease research scientists and non-specialists recognized expert in your field, driving success for individual studies and projects; respected by a wide range of your internal colleagues and external collaborators demonstrated passion for science, seeking out new clinical discovery opportunities and early clinical study approaches advanced leadership, planning, prioritization, problem solving and organizational skills why consider novartis?  817 million. that’s how many lives our products touched in 2018. and while we’re proud of that, in this world of digital and technological transformation, we must also ask ourselves this: how can we continue to improve and extend even more people’s lives?  we believe the answers are found when curious, courageous and collaborative people like you are empowered to ask new questions, make bolder decisions and take smarter risks.  we are novartis. join us and help reimagine medicine  the novartis group of companies are equal opportunity employers and take pride in maintaining a diverse environment. we do not discriminate in recruitment, hiring, training, promotion or any other employment practices for reasons of race, color, religion, gender, national origin, age, sexual orientation, marital or veteran status, disability, or any other legally protected status.",4fdbb9b5cb09e0d2
3,Computational Biologist/Data Scientist,Goldfinch Bio,,Cambridge,MA, , ,"goldfinch bio is a biotechnology company that is singularly focused on discovering and developing precision therapies for patients with kidney disease. just as the goldfinch has long been a symbol of healing and renewal and was a prominent figure of the renaissance, goldfinch bio is leading a new age of therapeutic discovery to transform the treatment paradigm for people with kidney disease. goldfinch was launched in 2016 by third rock ventures, and is headquartered in cambridge, mass. for more information, please visit https://www.goldfinchbio.com.  the role: goldfinch bio seeks a talented computational biologist or data scientist to play a central role in development of the kidney genome atlas (kga) and the biology platform, two key components of our product engine for discovering novel drug targets, biomarkers for patient stratification, and insights into mechanism of disease. the kga encompasses more than 20,000 multi-omic samples (wgs, rnaseq, scrnaseq, proteomics, metabolomics, epigenetic marks), with plans to grow to >100,000 samples. the biology platform consists of ipsc-derived human kidney organoids and differentiated cells, podocytes. this exciting position will play a pivotal role in data processing and analysis, by wranging multi-omic data, applying appropriate statistical methods, and interpretation and presentation of results. a successful candidate will have significant experience implementing algorithms to derive disease insights from multi-omics data.  job responsibilities include: evaluation and incorporation of cutting edge analytical and statistical approaches in analyses and interpretation of high-dimensional multi-omic and phenotypic data analysis of rnaseq data for calculating eqtls and diffential gene expression unbiased cell type clustering of single cell data (e.g. scrnaseq, scatacseq) and trajectory analysis of cell differentiation curation of public and proprietary epigenetic data (e.g. chipseq, histone marks), including rigorous examination of batch effects building scalable and reproducible data processing and analysis pipelines in a cloud environment deploying machine learning algorithms for drug discovery, including researching, adapting, and implementing cutting-edge methodologies  qualifications/experience: ph.d. in computational biology, bioinformatics, computer science, or related field; or equivalent academic/industry experience. post-doctoral training a plus. experience integrating and analyzing high-dimensional data proficiency in python, r and linux is required experience analyzing genomic and/or transcriptomic data a plus proficiency with machine learning algorithms proven ability to work independently and in a team environment excellent analytical and problem-solving skills excellent written and verbal communication skills record of significant peer-reviewed publications strong drive with a desire to make an impact on kidney disease",f14bc6dec8b4f60f
4,Principal Data Scientist,Verizon,,Boston,MA ,02109,Central area,"what you’ll be doing... as a principal data scientist, you’ll be ensuring that analytics drive continuous business improvements, bringing more profitable growth and an even better customer experience. you’ll define the analytics strategy and champion that strategy across the business, in order to create buy-in for data-driven decision making. your end goal is to recommend improvements that will go straight to the bottom line, by helping us serve our customers. partner with others to understand business challenges. design creative approaches to uncover the biggest opportunities for cost and time savings. define and drive the analytics strategy and modeling approaches. build business cases and translating findings into practical business implications. drive the adoption of analytics in decision making. what we’re looking for... you'll need to have: bachelor’s degree or four or more years of work experience. six or more years of relevant work experience. experience with sql and either python, r or sas project management experience. experience working across channels and work groups. experience working with crm systems, operations, and finance to deliver against marketing objectives. experience inmicrosoft office suite, particularly excel and powerpoint. even better if you have: master's degree or mba. experience building relationships and working as a team player. five or more years of experience in the wireless industry. delivering results in a marketing capacity with experience in loyalty and retention, base campaigns and crm strategy development/execution. excellent oral and written communication skills; with demonstrated experience building and delivering executive level presentations experience working with marketing and go-to-market teams on delivering high quality training materials. passion for our customers – fully wanting to understand their needs and wants and how we can better serve them. capability to thrive in a dynamic, fast-changing environment that requires a high degree of multi-tasking with minimal supervision. willingness to travel. when you join verizon... you’ll be doing work that matters alongside other talented people, transforming the way people, businesses and things connect with each other. beyond powering america’s fastest and most reliable network, we’re leading the way in broadband, cloud and security solutions, internet of things and innovating in areas such as, video entertainment. of course, we will offer you great pay and benefits, but we’re about more than that. verizon is a place where you can craft your own path to greatness. whether you think in code, words, pictures or numbers, find your future at verizon. equal employment opportunity we're proud to be an equal opportunity employer- and celebrate our employees' differences,including race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, and veteran status. different makes us better.",8d13390a342786e0
5,Data Scientist / Machine Learning Architect / Developer,Profitect Inc.,,Burlington,MA, , ,"profitect’s research and development team is looking for a data scientist / machine learning architect / developer to join our awesome development group in greater boston, ma.we are seeking a data scientist with expertise in machine learning and its use in identifying opportunities in customer data. if you love data, curious about analyzing and finding problems, and identifying solutions then this job is for you. the successful candidate will be a member of a close-knit team of data analysts, data scientists, and software developers analyzing large, multidimensional datasets from internal and external sources. the ideal person will develop and apply novel models on customer data in order to help identify areas to increase profits and reduce losses.job responsibilities: design and implementation of regression based predictive models incorporating diverse data types.integration of state-of-the-art machine learning algorithms as well as the development of new methods.identification, assessment, and deployment of newly published techniques, staying current with the field.team with experimentalists to translate models into testable hypothesesdevelop tools to support analysis and visualization of large datasets.job requirements: strong background in statistics, machine learning, deep learning and programming necessary. 1-2 years experience required.experience in solving large-scale real-world industry problems, preferably in collaboration with cross-functional, multi-disciplinary teams.knowledge of statistical programming techniques and languages (e.g., r, python, java, etc.).working knowledge of common machine learning and deep learning approaches (e.g. regression, clustering, classification, dimensionality reduction, supervised and unsupervised techniques, bayesian reasoning, boosting, random forests, deep learning) and data analysis packages (e.g. scikit-learn, pyclustering, pathways analysis, mllib)prior experience with tensorflowprior experience in natural language processing using nltkretail industry experience desiredexperience using cloud compute (e.g. google cloud platform, aws, azure).familiarity with nosql databases, graphical analyses, and large-scale data processing frameworks (e.g. apache spark)solid understanding of data structures, software design and architecture.ability to work independently and take initiative, but also a co-operative team player.masters in computer science, machine learning, or related discipline.full-time positionprofitect is proud to be an equal opportunity employer and is committed to maintaining a diverse and inclusive work environment. all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, physical or mental disability, age, or veteran status or any other basis protected by federal, state, or local law.job type: full-timeexperience:relevant: 1 year (required)education:master's (required)work authorization:united states (required)work location:one locationbenefits offered:paid time offparental leavehealth insurancedental insurancehealthcare spending or reimbursement accounts such as hsas or fsasother types of insuranceretirement benefits or accountseducation assistance or tuition reimbursementchild care benefitsworkplace perks such as food/coffee and flexible work schedules",b7ae218bbb0b2a50
6,Data Scientist (Full-Time),proton.ai,97500.0,Boston,MA, , ,"*job description data scientist (full-time)team:  data sciencelocation:  boston, mawho we are: at proton, we're bringing cutting-edge machine learning to b2b distribution. by predicting what customers will buy, we're improving sales and efficiency and driving growth.responsibilities: we're looking for a data scientist to help us make that vision a reality by developing and refining cutting-edge machine learning models and data processing systems.our backend is largely written with python, so some experience with that or another dynamic programming language are essential. we're also a small team — you'll need to be comfortable taking your idea from theory into deployment.*job type: full-timesalary: $75,000.00 to $120,000.00 /yearexperience:relevant: 1 year (preferred)benefits:paid time offflexible scheduleschedule::monday to friday",8cacfaa3c21d0129
7,"Data Scientist (Intern, Part-Time)",proton.ai,,Boston,MA, , ,"data scientist (intern, part-time)team:  data sciencerole closes - 11:59 pm est, 8th sep 2019 edt (america/new_york)location: boston, mawho we are: at proton, we're bringing cutting-edge machine learning to b2b distribution. by predicting what customers will buy, we're improving sales and efficiency and driving growth. we're looking for an intern data scientist working part-time to help us make that vision a reality by developing and refining cutting-edge machine learning models and data processing systems.responsibilities: you will be expected to make a minimum 10 hour-per-week commitment, and you will need to work out of our offices in the harvard innovation lab.our backend is largely written with python, so some experience with that or another dynamic programming language are essential. we're also a small team — you'll need to be comfortable taking your idea from theory into deployment.job types: part-time, internshipexperience:relevant: 1 year (preferred)work location:one locationinternship compensation:payschedule::monday to friday",1a087273ecb3d9e3
8,Sr. Data Scientist,Cubic IT,24795.0,Boston,MA, , ,"job summarylooking for an experienced machine learning engineer to apply modern machine learning and data science practices to asset managementartificial intelligence center of excellence (coe you’ll be building critical solutions that will benefit our clients for years to come. we work closely with business stakeholders, collect requirements and deliver high value ai/ml solutions that drive customer and business value.responsibilities and dutiesthe ai/ml (artificial intelligence and machine learning) team contributes to the vitality and growth of the organization through researching and building complex, cutting edge and scalable ai algorithms, models, platforms and technologies to significantly improve customer experience and drive business results. our team of high caliber scientists, mathematicians and statisticians use rigorous quantitative approaches to ensure that we are efficiently building algorithms and technology relevant to the business or customer experience issue at hand.the expertise you haveminimum master’s degree in engineering, computer science, mathematics, computational statistics, operations research, machine learning or related technical fields3+ years’ experience as a data science professional with focus on developing and deploying practical solutions for business problemsstrong programming skills in python/r/matlab/spark/scala and sql is a must havehands on experience developing and deploying supervised and unsupervised machine learning algorithms (regression, decision trees/random forest, neural networks, feature selection/reduction, clustering, parameter tuning, etc.),experience with financial data sets is nice to havethe skills you bringyour solid skills in algorithm development and predictive modelingprogramming skills to help us implement our ideasjob types: full-time, contractsalary: $90.00 to $100.00 /dayexperience:matlab: 4 years (required)relevant: 5 years (required)data science: 3 years (required)scala: 2 years (required)machine learning: 2 years (preferred)artificial intelligence: 2 years (preferred)python: 4 years (required)asset management: 2 years (required)education:bachelor's (required)work authorization:united states (required)",8b0554b4567cb6b0
9,Data Scientist,Park Jockey,,Boston,MA, , ,"who you’ll work for reef technology is the ecosystem that connects the world to your block. each reef hub is a thriving, connected ecosystem of businesses, cities and people, that enables and provides the delivery of products and services to more people than ever before. each location offers a variety of services including micro-fulfillment centers, bike and scooter rental stations, electric vehicle charging, rideshare and autonomous vehicle buffering areas, community spaces for pop-up businesses, and more.  reef technology has reimagined the role of a parking facility. we are the largest network of parking lots in north america, believing these locations can do a lot more than just store your car. they serve as buffers for high density, high activity areas and, as such, alleviate congestion and the ensuing pollution. but, with the explosive growth of the sharing and on-demand economy, it is expected that the need for parking to solely store cars will be outgrown by other needs.  we are part of softbank, and its portfolio of leading companies transforming business and commerce at the cutting edge of technology in the world today   are you? a big data wrangler, someone who finds themselves caught at the crossroads of business and technology? if so, this position might just be for you! what you’ll do  analyze and integrate large relational and non-relational databases to extract insights and drive products develop machine learning models and ai solutions for multivariate time-series forecasting optimization and validation of the model performance collaborate with business and technology teams to understand the business and build advanced data and model platforms communicate results with internal and external stakeholders to achieve business objectives   what we want from you  degree in a quantitative field (e.g., computer science, engineering, mathematics, statistics, operations research or other related fields) knowledge of multivariate statistics, regression, classification, modeling, decision theory, time-series analysis, hypothesis testing, machine-learning, and deep-learning tools ability to appropriately select and apply quantitative analysis techniques to answer complex questions proficiency in using python, sql, hadoop, spark for data extraction and analysis experience with scientific computing and analysis packages such as numpy, scipy, pandas, scikit-learn experience with machine learning libraries and packages such as pytorch, tensorflow, or keras experience with greenplum, postgres, and mysql experience with data visualization libraries such as matplotlib, plotly, or ggplot2 proven to thrive in startup environments organized, detail oriented and capable of putting ideas into a tangible product desired but not required  working with public clouds (e.g., aws and/or google cloud) hands-on work with graph databases database design what we’ll provide medical dental vision 401k paid time off (pto)   physical demands: the physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job.  frequently operate small office equipment such as a computer, calculator, and copier/printer will remain in seated position for extended periods of time working conditions: work is performed indoors for extended periods of time, including up to the entire duration of shift.  reef kitchen is an equal opportunity employer, and we value diversity at our company. we don't discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.   #dice  back share apply now",0cc7c0afb827e835
